ndc,change_type,old_value,new_value,change_date,reason
6575723226,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-18,Routine discontinuation
7878535266,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-04,Routine formulary change
3469861824,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-23,Routine formulary change
5967667320,Price Update,Old Price Update value,New Price Update value,2024-03-27,Routine price update
1191610447,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-22,Routine formulary change
3389191628,Price Update,Old Price Update value,New Price Update value,2024-03-05,Routine price update
8233973956,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-17,Routine discontinuation
2194417772,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-05,Routine manufacturer change
8776251863,New Product,Old New Product value,New New Product value,2024-03-12,Routine new product
3336826450,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-18,Routine manufacturer change
7644040635,New Product,Old New Product value,New New Product value,2024-03-19,Routine new product
1265617433,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-15,Routine formulary change
5433124535,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-18,Routine discontinuation
8695988463,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-21,Routine manufacturer change
7395079070,Price Update,Old Price Update value,New Price Update value,2024-03-10,Routine price update
1583692938,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-10,Routine formulary change
7991278341,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-14,Routine manufacturer change
6778775396,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-26,Routine formulary change
7089031488,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-13,Routine manufacturer change
5472150812,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-12,Routine discontinuation
9033034514,Price Update,Old Price Update value,New Price Update value,2024-03-24,Routine price update
9286033396,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-10,Routine manufacturer change
1167069819,Price Update,Old Price Update value,New Price Update value,2024-03-12,Routine price update
9681213265,New Product,Old New Product value,New New Product value,2024-03-21,Routine new product
9401542657,New Product,Old New Product value,New New Product value,2024-03-06,Routine new product
9274037686,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-21,Routine formulary change
2989144114,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-27,Routine discontinuation
8786667358,Price Update,Old Price Update value,New Price Update value,2024-03-22,Routine price update
3541461388,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-22,Routine manufacturer change
6322969654,New Product,Old New Product value,New New Product value,2024-03-21,Routine new product
3349056610,New Product,Old New Product value,New New Product value,2024-03-16,Routine new product
7840896858,New Product,Old New Product value,New New Product value,2024-03-08,Routine new product
2379818414,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-22,Routine manufacturer change
2923955424,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-18,Routine discontinuation
9233720212,Price Update,Old Price Update value,New Price Update value,2024-03-24,Routine price update
8182724994,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-19,Routine discontinuation
9636129089,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-17,Routine discontinuation
8888172961,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-10,Routine formulary change
8947220982,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-25,Routine manufacturer change
5436566685,New Product,Old New Product value,New New Product value,2024-03-12,Routine new product
