ndc,change_type,old_value,new_value,change_date,reason
9412858972,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-28,Routine formulary change
6745163435,Price Update,Old Price Update value,New Price Update value,2024-04-05,Routine price update
8944629124,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-13,Routine formulary change
6949372740,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-17,Routine manufacturer change
3818687325,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-03,Routine discontinuation
2815550328,Price Update,Old Price Update value,New Price Update value,2024-04-02,Routine price update
9216464438,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-25,Routine formulary change
8535632944,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-01,Routine formulary change
1211579137,Price Update,Old Price Update value,New Price Update value,2024-04-24,Routine price update
7297999171,Price Update,Old Price Update value,New Price Update value,2024-04-01,Routine price update
7621144149,New Product,Old New Product value,New New Product value,2024-04-05,Routine new product
3067293948,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-04,Routine manufacturer change
8539019781,Price Update,Old Price Update value,New Price Update value,2024-04-02,Routine price update
5048319689,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-21,Routine formulary change
5855795935,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-23,Routine manufacturer change
6024727838,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-19,Routine manufacturer change
1875667248,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-24,Routine discontinuation
6577451493,New Product,Old New Product value,New New Product value,2024-04-12,Routine new product
3740865153,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-14,Routine discontinuation
9137641954,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-14,Routine discontinuation
5654463235,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-07,Routine manufacturer change
5100399695,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-12,Routine discontinuation
3365111722,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-06,Routine discontinuation
2945011942,Price Update,Old Price Update value,New Price Update value,2024-04-11,Routine price update
1249877122,New Product,Old New Product value,New New Product value,2024-04-14,Routine new product
9619655971,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-28,Routine formulary change
9091560368,Price Update,Old Price Update value,New Price Update value,2024-04-07,Routine price update
8462726087,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-22,Routine manufacturer change
7952250396,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-21,Routine manufacturer change
9249712874,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-24,Routine discontinuation
1736744591,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-24,Routine discontinuation
8889332964,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-28,Routine manufacturer change
9689426239,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-20,Routine formulary change
3150549758,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-03,Routine discontinuation
9808099466,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-14,Routine manufacturer change
4679454030,New Product,Old New Product value,New New Product value,2024-04-15,Routine new product
6479324010,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-21,Routine formulary change
8032318281,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-15,Routine manufacturer change
9605170885,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-05,Routine discontinuation
3349938052,Price Update,Old Price Update value,New Price Update value,2024-04-26,Routine price update
