ndc,change_type,old_value,new_value,change_date,reason
3932844045,Price Update,Old Price Update value,New Price Update value,2024-06-03,Routine price update
9460111350,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-06,Routine discontinuation
8171610261,New Product,Old New Product value,New New Product value,2024-06-20,Routine new product
4415055162,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-21,Routine manufacturer change
6510194775,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-13,Routine formulary change
1839189280,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-04,Routine formulary change
7095410682,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-14,Routine formulary change
4352196186,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-27,Routine formulary change
4349097015,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-25,Routine formulary change
1453896277,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-21,Routine discontinuation
8810744738,New Product,Old New Product value,New New Product value,2024-06-05,Routine new product
2410140415,Price Update,Old Price Update value,New Price Update value,2024-06-24,Routine price update
6088125139,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-16,Routine manufacturer change
1607828392,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-08,Routine manufacturer change
1142875372,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-14,Routine formulary change
5030450817,Price Update,Old Price Update value,New Price Update value,2024-06-06,Routine price update
6337211499,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-26,Routine formulary change
7041910592,Price Update,Old Price Update value,New Price Update value,2024-06-20,Routine price update
6379130191,Price Update,Old Price Update value,New Price Update value,2024-06-23,Routine price update
7521240045,Price Update,Old Price Update value,New Price Update value,2024-06-26,Routine price update
7949833453,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-12,Routine discontinuation
9063647324,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-06-07,Routine formulary change
3969818374,Price Update,Old Price Update value,New Price Update value,2024-06-06,Routine price update
1737138128,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-15,Routine discontinuation
4482122512,New Product,Old New Product value,New New Product value,2024-06-25,Routine new product
3820695240,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-08,Routine discontinuation
4915049859,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-18,Routine discontinuation
6520831871,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-14,Routine manufacturer change
7434810164,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-13,Routine manufacturer change
8593395318,Price Update,Old Price Update value,New Price Update value,2024-06-13,Routine price update
1964648289,Price Update,Old Price Update value,New Price Update value,2024-06-09,Routine price update
1709494820,Price Update,Old Price Update value,New Price Update value,2024-06-19,Routine price update
4597666330,Price Update,Old Price Update value,New Price Update value,2024-06-26,Routine price update
6830911026,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-15,Routine manufacturer change
9792071580,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-22,Routine discontinuation
1468862110,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-06-18,Routine discontinuation
8241447463,Price Update,Old Price Update value,New Price Update value,2024-06-02,Routine price update
2655788629,New Product,Old New Product value,New New Product value,2024-06-22,Routine new product
5135098785,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-25,Routine manufacturer change
8865373421,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-06-12,Routine manufacturer change
