ndc,change_type,old_value,new_value,change_date,reason
6035025324,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-02,Routine discontinuation
1579022844,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-04,Routine manufacturer change
2259648581,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-21,Routine formulary change
9337820456,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-03,Routine manufacturer change
4900939924,Price Update,Old Price Update value,New Price Update value,2024-05-26,Routine price update
6504988460,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-21,Routine formulary change
1208094028,Price Update,Old Price Update value,New Price Update value,2024-05-15,Routine price update
6686525148,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-28,Routine discontinuation
4107899234,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-16,Routine discontinuation
6533953766,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-07,Routine manufacturer change
5549712947,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-01,Routine discontinuation
5437249777,Price Update,Old Price Update value,New Price Update value,2024-05-20,Routine price update
5617866543,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-08,Routine discontinuation
3005788938,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-24,Routine manufacturer change
9138785160,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-15,Routine formulary change
7439574326,Price Update,Old Price Update value,New Price Update value,2024-05-17,Routine price update
2446298140,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-16,Routine formulary change
2808211238,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-17,Routine discontinuation
6092314010,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-02,Routine discontinuation
7670266291,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-24,Routine formulary change
2562123936,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-23,Routine formulary change
8491589831,Price Update,Old Price Update value,New Price Update value,2024-05-08,Routine price update
1700235311,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-01,Routine manufacturer change
7712585765,Price Update,Old Price Update value,New Price Update value,2024-05-11,Routine price update
8255890940,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-04,Routine manufacturer change
4834615490,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-15,Routine discontinuation
1765569123,Price Update,Old Price Update value,New Price Update value,2024-05-13,Routine price update
7090527163,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-12,Routine manufacturer change
4380113024,New Product,Old New Product value,New New Product value,2024-05-12,Routine new product
9627431534,New Product,Old New Product value,New New Product value,2024-05-18,Routine new product
5640764984,Price Update,Old Price Update value,New Price Update value,2024-05-23,Routine price update
6334589944,Price Update,Old Price Update value,New Price Update value,2024-05-17,Routine price update
7275224242,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-06,Routine formulary change
9030146731,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-05-06,Routine manufacturer change
7569279585,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-22,Routine formulary change
2517792041,New Product,Old New Product value,New New Product value,2024-05-26,Routine new product
4391744421,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-02,Routine formulary change
1783243564,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-17,Routine formulary change
8253441231,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-05-19,Routine discontinuation
6280782251,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-05-07,Routine formulary change
