ndc,change_type,old_value,new_value,change_date,reason
1232644370,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-18,Routine discontinuation
9570938191,New Product,Old New Product value,New New Product value,2024-04-27,Routine new product
3976496763,Price Update,Old Price Update value,New Price Update value,2024-04-24,Routine price update
6319991346,Price Update,Old Price Update value,New Price Update value,2024-04-26,Routine price update
6237423287,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-07,Routine manufacturer change
3360451489,New Product,Old New Product value,New New Product value,2024-04-13,Routine new product
1726235545,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-06,Routine discontinuation
1556071943,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-05,Routine discontinuation
5467762764,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-13,Routine discontinuation
6487680359,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-21,Routine formulary change
5560941230,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-22,Routine discontinuation
3080226413,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-02,Routine manufacturer change
9608453989,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-17,Routine manufacturer change
3995217958,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-10,Routine discontinuation
7046036845,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-18,Routine manufacturer change
4445160886,New Product,Old New Product value,New New Product value,2024-04-05,Routine new product
3897546876,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-22,Routine manufacturer change
1812979971,New Product,Old New Product value,New New Product value,2024-04-26,Routine new product
3082523236,Price Update,Old Price Update value,New Price Update value,2024-04-27,Routine price update
1296898526,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-28,Routine discontinuation
3680195753,New Product,Old New Product value,New New Product value,2024-04-03,Routine new product
6681780738,New Product,Old New Product value,New New Product value,2024-04-25,Routine new product
9422180761,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-19,Routine discontinuation
5660813975,New Product,Old New Product value,New New Product value,2024-04-27,Routine new product
1270750264,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-03,Routine formulary change
3957311073,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-17,Routine formulary change
5766540010,New Product,Old New Product value,New New Product value,2024-04-10,Routine new product
5255335753,Price Update,Old Price Update value,New Price Update value,2024-04-11,Routine price update
1623210964,Price Update,Old Price Update value,New Price Update value,2024-04-06,Routine price update
8182718383,New Product,Old New Product value,New New Product value,2024-04-13,Routine new product
4061237772,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-04-16,Routine discontinuation
5161926487,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-01,Routine formulary change
6108635822,Price Update,Old Price Update value,New Price Update value,2024-04-19,Routine price update
4409711794,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-04-27,Routine manufacturer change
8285910161,New Product,Old New Product value,New New Product value,2024-04-01,Routine new product
1036590798,Price Update,Old Price Update value,New Price Update value,2024-04-21,Routine price update
5036370197,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-04-24,Routine formulary change
6362870852,New Product,Old New Product value,New New Product value,2024-04-07,Routine new product
5714893248,New Product,Old New Product value,New New Product value,2024-04-21,Routine new product
9020299952,Price Update,Old Price Update value,New Price Update value,2024-04-21,Routine price update
