ndc,change_type,old_value,new_value,change_date,reason
6163179886,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-22,Routine discontinuation
7302440972,New Product,Old New Product value,New New Product value,2024-03-10,Routine new product
2218825236,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-21,Routine discontinuation
4861480890,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-11,Routine discontinuation
6693921787,Price Update,Old Price Update value,New Price Update value,2024-03-24,Routine price update
3638257924,New Product,Old New Product value,New New Product value,2024-03-02,Routine new product
7532275425,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-12,Routine manufacturer change
5717433848,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-14,Routine formulary change
2017757314,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-14,Routine formulary change
9029870223,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-24,Routine formulary change
2563318264,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-22,Routine manufacturer change
3623325798,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-05,Routine discontinuation
1575969428,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-09,Routine manufacturer change
1064942599,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-17,Routine discontinuation
7697139982,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-27,Routine discontinuation
1180633366,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-22,Routine manufacturer change
5997143722,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-13,Routine formulary change
7864949749,Price Update,Old Price Update value,New Price Update value,2024-03-18,Routine price update
4383683532,New Product,Old New Product value,New New Product value,2024-03-06,Routine new product
7681946416,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-13,Routine formulary change
2820360674,Price Update,Old Price Update value,New Price Update value,2024-03-14,Routine price update
7458370197,Price Update,Old Price Update value,New Price Update value,2024-03-08,Routine price update
2003892545,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-23,Routine manufacturer change
6653416511,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-06,Routine formulary change
6869983476,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-10,Routine discontinuation
3265620510,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-20,Routine formulary change
4800092212,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-23,Routine manufacturer change
2180678679,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-01,Routine manufacturer change
8029532358,New Product,Old New Product value,New New Product value,2024-03-05,Routine new product
3148527711,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-04,Routine formulary change
5972469722,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-08,Routine formulary change
8392654725,New Product,Old New Product value,New New Product value,2024-03-06,Routine new product
9200386949,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-03-20,Routine formulary change
7401160316,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-03-26,Routine manufacturer change
7393310644,Price Update,Old Price Update value,New Price Update value,2024-03-03,Routine price update
6102682633,New Product,Old New Product value,New New Product value,2024-03-28,Routine new product
9466889376,New Product,Old New Product value,New New Product value,2024-03-11,Routine new product
6848736945,Price Update,Old Price Update value,New Price Update value,2024-03-02,Routine price update
2221748351,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-03-16,Routine discontinuation
5822198640,Price Update,Old Price Update value,New Price Update value,2024-03-23,Routine price update
