ndc,change_type,old_value,new_value,change_date,reason
2473266135,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-03,Routine discontinuation
9643967538,Price Update,Old Price Update value,New Price Update value,2024-02-20,Routine price update
7501081398,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-07,Routine formulary change
6018326496,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-24,Routine formulary change
5263443961,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-05,Routine formulary change
8285576224,Price Update,Old Price Update value,New Price Update value,2024-02-04,Routine price update
1059535927,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-28,Routine formulary change
3762719520,New Product,Old New Product value,New New Product value,2024-02-03,Routine new product
8522838470,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-01,Routine discontinuation
7070825912,New Product,Old New Product value,New New Product value,2024-02-12,Routine new product
8738050521,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-03,Routine discontinuation
9486560476,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-04,Routine manufacturer change
7819877756,New Product,Old New Product value,New New Product value,2024-02-22,Routine new product
8730755385,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-16,Routine discontinuation
5683057765,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-12,Routine formulary change
9183578535,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-16,Routine discontinuation
2344140953,Price Update,Old Price Update value,New Price Update value,2024-02-16,Routine price update
5704662475,New Product,Old New Product value,New New Product value,2024-02-11,Routine new product
8704060513,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-13,Routine manufacturer change
3464724933,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-12,Routine manufacturer change
5639977720,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-11,Routine manufacturer change
1725330064,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-04,Routine formulary change
7904518575,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-20,Routine formulary change
7338010894,Price Update,Old Price Update value,New Price Update value,2024-02-20,Routine price update
8317082288,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-23,Routine discontinuation
8594693143,Price Update,Old Price Update value,New Price Update value,2024-02-21,Routine price update
6731626685,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-19,Routine discontinuation
9116461078,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-05,Routine manufacturer change
9840424267,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-11,Routine manufacturer change
6523297431,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-06,Routine manufacturer change
1842799811,New Product,Old New Product value,New New Product value,2024-02-23,Routine new product
2159488473,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-09,Routine discontinuation
6556636379,New Product,Old New Product value,New New Product value,2024-02-09,Routine new product
9660195988,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-16,Routine manufacturer change
7516788237,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-08,Routine formulary change
4811559340,Formulary Change,Old Formulary Change value,New Formulary Change value,2024-02-27,Routine formulary change
8134961866,Manufacturer Change,Old Manufacturer Change value,New Manufacturer Change value,2024-02-13,Routine manufacturer change
1831243723,Discontinuation,Old Discontinuation value,New Discontinuation value,2024-02-12,Routine discontinuation
4233652391,New Product,Old New Product value,New New Product value,2024-02-07,Routine new product
4038929549,Price Update,Old Price Update value,New Price Update value,2024-02-26,Routine price update
